Lot_Wafer_ID,Step1_R1,Step1_R2,Step1_R3,Step1_EQ,Step2_R1,Step2_EQ,Step3_R1,Step3_D1,Step3_EQ,Step4_R1,Step4_R2,Step4_R3,Step4_EQ,Step5_R1,Step5_R2,Step5_EQ,Step6_R1,Step6_EQ,Step7_R1,Step7_D1,Step7_EQ,Step8_R1,Step8_EQ,Step9_R1,Step9_R2,Step9_R3,Step9_EQ,Step10_R1,Step10_D1,Step10_EQ,Step11_R1,Step11_R2,Step11_R3,Step11_EQ,Step12_R1,Step12_R2,Step12_R3,Step12_D1,Step12_EQ,Step13_R1,Step13_R2,Step13_R3,Step13_D1,Step13_EQ,Step14_R1,Step14_EQ,Step15_R1,Step15_R2,Step15_R3,Step15_EQ,Step16_R1,Step16_R2,Step16_EQ,Step17_R1,Step17_EQ,Step18_R1,Step18_D1,Step18_EQ,Step19_R1,Step19_D1,Step19_EQ,Step20_R1,Step20_D1,Step20_EQ,Step21_R1,Step21_D1,Step21_EQ,Step22_R1,Step22_R2,Step22_R3,Step22_EQ,Step23_R1,Step23_R2,Step23_R3,Step23_EQ,Step24_R1,Step24_EQ,Step25_R1,Step25_R2,Step25_R3,Step25_EQ,Step26_R1,Step26_EQ,Step27_R1,Step27_R2,Step27_R3,Step27_EQ,Step28_R1,Step28_R2,Step28_R3,Step28_EQ,Step29_R1,Step29_R2,Step29_R3,Step29_D1,Step29_EQ,Step30_R1,Step30_R2,Step30_R3,Step30_EQ,Y,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
L001W01,847.3392745,2630.631733,,Step1_Model1_EQC_CH2,,Step2_Model2_EQA_CH2,2587.277739,,Step3_Model1_EQD_CH3,875.5264247,,785.936726,Step4_Model2_EQA_CH1,1107.877327,1108.200731,Step5_Model1_EQD_CH2,,Step6_Model1_EQC_CH2,1932.85005,,Step7_Model1_EQB_CH3,,Step8_Model2_EQB_CH3,,,2187.364253,Step9_Model2_EQB_CH3,,8,Step10_Model1_EQC_CH3,,662.3582482,588.3326088,Step11_Model2_EQD_CH3,1891.887788,,1086.223427,,Step12_Model1_EQA_CH2,,773.7036853,709.114814,,Step13_Model2_EQC_CH3,,Step14_Model2_EQA_CH2,,,,Step15_Model2_EQC_CH3,854.9131606,,Step16_Model2_EQC_CH1,,Step17_Model2_EQD_CH2,2156.044115,,Step18_Model1_EQA_CH2,940.3158206,,Step19_Model2_EQA_CH4,789.8639125,8,Step20_Model1_EQC_CH1,2289.680777,10,Step21_Model2_EQB_CH1,2083.384941,2382.839495,,Step22_Model1_EQC_CH2,,,,Step23_Model2_EQD_CH4,1489.390055,Step24_Model2_EQB_CH1,901.1709239,1903.123498,1097.114697,Step25_Model2_EQC_CH1,2438.684607,Step26_Model1_EQD_CH2,1450.836725,1844.176307,971.5946148,Step27_Model2_EQA_CH1,2008.099992,1675.765077,2264.607235,Step28_Model1_EQB_CH1,695.1612814,1313.256859,1815.190019,11,Step29_Model2_EQD_CH4,2457.330403,,,Step30_Model2_EQC_CH4,0,24.9,25.8,23,24.2,24,30,60,56,77,25
L001W02,,2529.202387,1473.684404,Step1_Model1_EQC_CH2,2176.530429,Step2_Model2_EQA_CH2,2549.448,12,Step3_Model1_EQD_CH1,975.5505502,709.2796608,,Step4_Model2_EQA_CH2,1033.652957,1064.970091,Step5_Model1_EQD_CH4,1039.150505,Step6_Model1_EQC_CH2,1952.36333,7,Step7_Model1_EQB_CH4,1573.68224,Step8_Model2_EQB_CH3,743.6773283,1895.978878,2292.749369,Step9_Model2_EQB_CH4,735.0305922,9,Step10_Model1_EQC_CH2,1504.067171,668.3130822,585.5371938,Step11_Model2_EQD_CH4,1871.524741,,1047.950893,,Step12_Model1_EQA_CH2,,832.6321166,,,Step13_Model2_EQC_CH4,,Step14_Model2_EQA_CH2,,649.6846591,1929.568237,Step15_Model2_EQC_CH4,897.5875852,1171.002553,Step16_Model2_EQC_CH3,2099.518394,Step17_Model2_EQD_CH2,2589.748709,,Step18_Model1_EQA_CH4,1018.623397,,Step19_Model2_EQA_CH3,,16,Step20_Model1_EQC_CH1,2305.52898,10,Step21_Model2_EQB_CH2,1930.308885,,,Step22_Model1_EQC_CH3,,891.4530703,1195.156238,Step23_Model2_EQD_CH3,1689.968017,Step24_Model2_EQB_CH4,970.7835309,1917.828582,,Step25_Model2_EQC_CH2,2304.132674,Step26_Model1_EQD_CH1,1603.576072,,893.7009775,Step27_Model2_EQA_CH1,,,,Step28_Model1_EQB_CH2,,1346.351173,1824.956817,10,Step29_Model2_EQD_CH2,2581.347151,1210.277521,1546.844001,Step30_Model2_EQC_CH2,0,35.8,37.4,40.2,35.7,38.3,2,16,343,90,492
L001W03,,2701.8698,1675.252772,Step1_Model1_EQC_CH1,2185.985924,Step2_Model2_EQA_CH2,2408.695716,10,Step3_Model1_EQD_CH3,1002.207634,667.5911396,,Step4_Model2_EQA_CH3,961.0691346,1007.366132,Step5_Model1_EQD_CH2,991.2263345,Step6_Model1_EQC_CH2,1998.281401,,Step7_Model1_EQB_CH3,1675.762175,Step8_Model2_EQB_CH2,,,,Step9_Model2_EQB_CH2,,15,Step10_Model1_EQC_CH4,1482.933163,,598.2648984,Step11_Model2_EQD_CH4,2139.332858,,,,Step12_Model1_EQA_CH1,,757.8227138,,,Step13_Model2_EQC_CH4,2130.582064,Step14_Model2_EQA_CH1,2047.724123,729.6813384,1895.950311,Step15_Model2_EQC_CH3,971.835038,1042.665154,Step16_Model2_EQC_CH1,1829.302176,Step17_Model2_EQD_CH2,,,Step18_Model1_EQA_CH3,975.5255109,,Step19_Model2_EQA_CH2,,12,Step20_Model1_EQC_CH3,2259.38242,,Step21_Model2_EQB_CH1,2205.437846,2323.319578,605.5815011,Step22_Model1_EQC_CH1,2436.743401,,1137.265067,Step23_Model2_EQD_CH3,1561.188133,Step24_Model2_EQB_CH2,864.2900681,,1131.467343,Step25_Model2_EQC_CH3,,Step26_Model1_EQD_CH1,,1999.145401,880.9346653,Step27_Model2_EQA_CH4,,,,Step28_Model1_EQB_CH4,673.7047121,1324.795946,1698.360297,,Step29_Model2_EQD_CH1,2398.686489,1240.556285,1499.62005,Step30_Model2_EQC_CH4,0,36,32.9,31.9,31.1,33.2,116,21,38,130,97
L001W04,,,,Step1_Model1_EQC_CH4,2487.614222,Step2_Model2_EQA_CH3,,,Step3_Model1_EQD_CH4,978.5023589,677.4385965,792.5182225,Step4_Model2_EQA_CH2,919.2066155,1010.260458,Step5_Model1_EQD_CH3,,Step6_Model1_EQC_CH2,,,Step7_Model1_EQB_CH4,1712.105264,Step8_Model2_EQB_CH1,,,,Step9_Model2_EQB_CH2,757.7287379,6,Step10_Model1_EQC_CH2,1366.258404,638.5213103,639.1633509,Step11_Model2_EQD_CH3,,2137.636514,1084.35886,,Step12_Model1_EQA_CH1,,809.4153821,,,Step13_Model2_EQC_CH4,,Step14_Model2_EQA_CH1,2092.861849,682.84153,1669.19261,Step15_Model2_EQC_CH3,841.9167552,,Step16_Model2_EQC_CH4,2138.167313,Step17_Model2_EQD_CH4,,,Step18_Model1_EQA_CH1,1020.990663,12,Step19_Model2_EQA_CH1,807.4138491,,Step20_Model1_EQC_CH4,,10,Step21_Model2_EQB_CH3,1827.434222,2477.975798,582.2306103,Step22_Model1_EQC_CH4,2636.111104,,1292.064241,Step23_Model2_EQD_CH2,1725.857176,Step24_Model2_EQB_CH2,,1962.240398,1104.98133,Step25_Model2_EQC_CH2,2400.704572,Step26_Model1_EQD_CH1,1665.363302,1740.496587,947.0219598,Step27_Model2_EQA_CH2,1969.158329,1518.603183,,Step28_Model1_EQB_CH1,710.5486197,,1780.144223,11,Step29_Model2_EQD_CH1,2399.486922,,1364.173799,Step30_Model2_EQC_CH2,4.9,23.7,19.3,17.5,18.6,16,152,3,7,0,31
L001W05,817.1250286,2470.428022,1704.042325,Step1_Model1_EQC_CH2,2274.32754,Step2_Model2_EQA_CH2,2405.898301,10,Step3_Model1_EQD_CH4,905.8517945,,886.2387532,Step4_Model2_EQA_CH2,1021.492808,956.7850641,Step5_Model1_EQD_CH4,1062.745492,Step6_Model1_EQC_CH2,1770.213947,9,Step7_Model1_EQB_CH1,1839.095912,Step8_Model2_EQB_CH4,736.6381498,,2348.692843,Step9_Model2_EQB_CH3,778.1188545,,Step10_Model1_EQC_CH2,,,592.8204536,Step11_Model2_EQD_CH4,2198.377347,1928.102869,1050.906471,,Step12_Model1_EQA_CH2,1109.292167,779.2154875,,11,Step13_Model2_EQC_CH4,2533.621827,Step14_Model2_EQA_CH2,2085.283421,713.7721473,1769.1826,Step15_Model2_EQC_CH2,,,Step16_Model2_EQC_CH4,1881.507169,Step17_Model2_EQD_CH4,2262.142451,,Step18_Model1_EQA_CH1,1077.749128,,Step19_Model2_EQA_CH4,802.8751668,,Step20_Model1_EQC_CH2,,,Step21_Model2_EQB_CH1,1915.6699,,643.5129423,Step22_Model1_EQC_CH4,2492.279451,903.483083,1125.343192,Step23_Model2_EQD_CH3,,Step24_Model2_EQB_CH4,,,1145.580982,Step25_Model2_EQC_CH4,,Step26_Model1_EQD_CH4,1536.973304,1853.636296,,Step27_Model2_EQA_CH3,2024.582613,1685.245924,,Step28_Model1_EQB_CH4,723.1164295,1224.755592,,,Step29_Model2_EQD_CH3,,,1429.622362,Step30_Model2_EQC_CH1,52,9.8,11.8,7.2,8.3,10.9,0,1265,6,20,301
L001W06,,,,Step1_Model1_EQC_CH4,2361.678005,Step2_Model2_EQA_CH1,,,Step3_Model1_EQD_CH2,,650.2901506,796.0971293,Step4_Model2_EQA_CH4,,,Step5_Model1_EQD_CH4,1034.873916,Step6_Model1_EQC_CH4,1885.597482,,Step7_Model1_EQB_CH3,1566.551628,Step8_Model2_EQB_CH1,,,2310.33572,Step9_Model2_EQB_CH2,743.5051144,,Step10_Model1_EQC_CH4,1448.356494,,620.59761,Step11_Model2_EQD_CH4,2187.030242,2024.003451,,,Step12_Model1_EQA_CH4,1136.837554,783.2117294,708.9338938,,Step13_Model2_EQC_CH3,,Step14_Model2_EQA_CH3,2041.669806,690.8336796,2002.153397,Step15_Model2_EQC_CH4,848.5501773,1177.941604,Step16_Model2_EQC_CH2,,Step17_Model2_EQD_CH4,,10,Step18_Model1_EQA_CH1,1049.211489,,Step19_Model2_EQA_CH1,845.3050458,,Step20_Model1_EQC_CH2,2244.676231,6,Step21_Model2_EQB_CH4,,2598.161462,671.748479,Step22_Model1_EQC_CH2,,886.346605,1218.983124,Step23_Model2_EQD_CH2,1733.720873,Step24_Model2_EQB_CH1,860.7643292,1998.636598,,Step25_Model2_EQC_CH4,,Step26_Model1_EQD_CH2,1729.069235,,987.1861305,Step27_Model2_EQA_CH3,1942.214938,1603.024777,2317.836562,Step28_Model1_EQB_CH4,,,,11,Step29_Model2_EQD_CH4,,,,Step30_Model2_EQC_CH3,45,11.3,11.3,12.7,10.4,9.3,21,71,8,42,1
L001W07,892.0900391,2923.872126,1539.261997,Step1_Model1_EQC_CH2,,Step2_Model2_EQA_CH1,2510.665097,12,Step3_Model1_EQD_CH3,913.2472129,665.5112764,804.8149989,Step4_Model2_EQA_CH2,,1014.768328,Step5_Model1_EQD_CH1,,Step6_Model1_EQC_CH1,1892.113932,,Step7_Model1_EQB_CH4,1752.530684,Step8_Model2_EQB_CH2,,,,Step9_Model2_EQB_CH1,730.6029522,9,Step10_Model1_EQC_CH1,1450.930117,,549.5490584,Step11_Model2_EQD_CH2,2102.959806,1877.854698,1047.72948,,Step12_Model1_EQA_CH4,1200.904948,691.372063,,8,Step13_Model2_EQC_CH3,2313.997916,Step14_Model2_EQA_CH1,,,1869.626579,Step15_Model2_EQC_CH1,916.541434,1057.328744,Step16_Model2_EQC_CH4,1888.127586,Step17_Model2_EQD_CH1,2461.901096,11,Step18_Model1_EQA_CH4,913.7957293,,Step19_Model2_EQA_CH1,773.1409022,8,Step20_Model1_EQC_CH1,2207.729719,,Step21_Model2_EQB_CH2,,,641.3346545,Step22_Model1_EQC_CH3,,861.14785,1236.959673,Step23_Model2_EQD_CH2,1565.829432,Step24_Model2_EQB_CH1,900.196284,1997.510748,,Step25_Model2_EQC_CH4,2294.528903,Step26_Model1_EQD_CH3,1482.68581,,913.2485213,Step27_Model2_EQA_CH1,,,2264.58743,Step28_Model1_EQB_CH3,,,,9,Step29_Model2_EQD_CH3,,,1536.654652,Step30_Model2_EQC_CH2,0,32.6,32.4,26.9,31.4,31.3,254,1203,92,12,800
L001W08,858.5309306,2609.519516,1603.954262,Step1_Model1_EQC_CH2,2335.92928,Step2_Model2_EQA_CH1,2456.231088,,Step3_Model1_EQD_CH2,903.4980003,670.4464479,759.7054322,Step4_Model2_EQA_CH3,1098.891181,966.7323537,Step5_Model1_EQD_CH1,1022.529021,Step6_Model1_EQC_CH3,1975.528338,,Step7_Model1_EQB_CH2,1573.546963,Step8_Model2_EQB_CH2,,,2280.27155,Step9_Model2_EQB_CH1,779.8250706,,Step10_Model1_EQC_CH3,1498.596664,,620.6090023,Step11_Model2_EQD_CH1,2074.996726,,1022.445237,11,Step12_Model1_EQA_CH1,,,,5,Step13_Model2_EQC_CH4,,Step14_Model2_EQA_CH4,2188.301287,,1801.95313,Step15_Model2_EQC_CH3,883.394682,,Step16_Model2_EQC_CH2,1803.536146,Step17_Model2_EQD_CH4,2147.713298,,Step18_Model1_EQA_CH4,,,Step19_Model2_EQA_CH4,839.5226745,,Step20_Model1_EQC_CH4,2497.357249,,Step21_Model2_EQB_CH1,1989.010184,2567.662892,658.5250132,Step22_Model1_EQC_CH1,,860.697316,1193.233164,Step23_Model2_EQD_CH1,,Step24_Model2_EQB_CH3,894.6106486,1871.7806,1199.143095,Step25_Model2_EQC_CH2,2287.178352,Step26_Model1_EQD_CH3,1626.953511,1837.071874,869.6399624,Step27_Model2_EQA_CH3,,1686.043392,,Step28_Model1_EQB_CH1,,,1743.933217,11,Step29_Model2_EQD_CH1,,1282.893214,,Step30_Model2_EQC_CH1,63.6,7.8,9.5,6.9,6.7,5.5,0,15,63,9,76
L001W09,,2374.851796,,Step1_Model1_EQC_CH4,2028.364554,Step2_Model2_EQA_CH2,2459.05362,,Step3_Model1_EQD_CH1,962.3262185,670.8402923,,Step4_Model2_EQA_CH2,983.148512,,Step5_Model1_EQD_CH3,1008.735642,Step6_Model1_EQC_CH3,,8,Step7_Model1_EQB_CH2,1581.580842,Step8_Model2_EQB_CH2,715.3688948,,,Step9_Model2_EQB_CH3,686.4774932,14,Step10_Model1_EQC_CH1,,685.138548,600.774772,Step11_Model2_EQD_CH1,2094.235103,,971.5439007,,Step12_Model1_EQA_CH2,1219.332529,,740.669657,11,Step13_Model2_EQC_CH4,2334.179179,Step14_Model2_EQA_CH1,,,2031.729425,Step15_Model2_EQC_CH4,900.7619881,1075.870315,Step16_Model2_EQC_CH4,2029.740989,Step17_Model2_EQD_CH4,2547.038166,,Step18_Model1_EQA_CH1,965.9133603,,Step19_Model2_EQA_CH1,867.5122612,,Step20_Model1_EQC_CH3,2253.452437,16,Step21_Model2_EQB_CH2,1968.303514,,598.1669718,Step22_Model1_EQC_CH3,2392.116993,,1224.235181,Step23_Model2_EQD_CH4,1759.126966,Step24_Model2_EQB_CH3,826.5772568,,,Step25_Model2_EQC_CH1,2118.143106,Step26_Model1_EQD_CH3,,,,Step27_Model2_EQA_CH2,2190.509769,1619.971889,2176.796477,Step28_Model1_EQB_CH2,685.1075592,1327.756011,1943.819699,8,Step29_Model2_EQD_CH3,2537.905699,1273.347585,1610.072522,Step30_Model2_EQC_CH3,0,26.3,27.9,28.2,25.4,25.3,7,129,273,43,49
L001W10,849.234555,2529.537712,1690.513112,Step1_Model1_EQC_CH3,2296.814307,Step2_Model2_EQA_CH3,2603.632507,,Step3_Model1_EQD_CH4,,650.1516239,814.3848992,Step4_Model2_EQA_CH1,973.6625824,1071.603352,Step5_Model1_EQD_CH4,,Step6_Model1_EQC_CH2,,,Step7_Model1_EQB_CH2,1783.981775,Step8_Model2_EQB_CH1,751.3875214,1926.972056,,Step9_Model2_EQB_CH3,780.4317516,,Step10_Model1_EQC_CH1,1376.679909,693.929024,638.4174657,Step11_Model2_EQD_CH4,2193.491419,2127.20832,1026.531452,,Step12_Model1_EQA_CH4,,714.0490004,721.1352394,,Step13_Model2_EQC_CH3,,Step14_Model2_EQA_CH1,2217.834,645.8562423,,Step15_Model2_EQC_CH3,,1102.955701,Step16_Model2_EQC_CH3,1959.243338,Step17_Model2_EQD_CH3,2361.307969,,Step18_Model1_EQA_CH3,,12,Step19_Model2_EQA_CH4,853.0018366,8,Step20_Model1_EQC_CH3,2176.089096,,Step21_Model2_EQB_CH2,2034.933589,,601.2533219,Step22_Model1_EQC_CH4,2467.261848,,1218.848007,Step23_Model2_EQD_CH4,,Step24_Model2_EQB_CH2,,,1110.386467,Step25_Model2_EQC_CH4,2357.436565,Step26_Model1_EQD_CH2,1709.080544,1860.592515,1030.470279,Step27_Model2_EQA_CH4,1857.414132,1691.647776,2479.933475,Step28_Model1_EQB_CH2,720.0926068,1317.450051,,4,Step29_Model2_EQD_CH4,2439.116804,,1522.115564,Step30_Model2_EQC_CH1,9.3,19.2,21.6,16,17.6,16.3,309,765,18,21,4
