Lot_Wafer_ID,Step1_EQ1,Step1_R1,Step1_R2,Step1_R3,Step1_D1,Step2_EQ1,Step2_R1,Step2_D1,Step3_EQ1,Step3_EQ2,Step3_EQ3,Step3_R1,Step3_R2,Step3_R3,Step3_D1,Step3_D2,Step4_EQ1,Step4_R1,Step4_R2,Step4_R3,Step4_D1,Step4_D2,Step4_D3,Step5_EQ1,Step5_EQ2,Step5_R1,Step5_R2,Step5_R3,Step5_D1,Step5_D2,Step5_D3,Step6_EQ1,Step6_EQ2,Step6_EQ3,Step6_R1,Step6_R2,Step6_R3,Step6_D1,Step6_D2,Step7_EQ1,Step7_R1,Step7_R2,Step7_D1,Step8_EQ1,Step8_R1,Step8_R2,Step8_D1,Step9_EQ1,Step9_EQ2,Step9_R1,Step9_R2,Step9_R3,Step9_D1,Step9_D2,Step9_D3,Step10_EQ1,Step10_EQ2,Step10_EQ3,Step10_R1,Step10_R2,Step10_D1,Step10_D2,Step10_D3,Step11_EQ1,Step11_EQ2,Step11_R1,Step11_D1,Step11_D2,Step12_EQ1,Step12_R1,Step12_R2,Step12_D1,Step13_EQ1,Step13_R1,Step13_R2,Step13_R3,Step13_D1,Step13_D2,Step13_D3,Step14_EQ1,Step14_R1,Step14_R2,Step14_D1,Step14_D2,Step15_EQ1,Step15_R1,Step15_R2,Step15_D1,Step15_D2,Step15_D3,Step16_EQ1,Step16_EQ2,Step16_R1,Step16_D1,Step16_D2,Step17_EQ1,Step17_EQ2,Step17_EQ3,Step17_R1,Step17_D1,Step17_D2,Step17_D3,Step18_EQ1,Step18_R1,Step18_R2,Step18_R3,Step18_D1,Step18_D2,Step19_EQ1,Step19_EQ2,Step19_R1,Step19_D1,Step19_D2,Step20_EQ1,Step20_EQ2,Step20_EQ3,Step20_R1,Step20_D1,Step20_D2,Step21_EQ1,Step21_EQ2,Step21_EQ3,Step21_R1,Step21_R2,Step21_D1,Step22_EQ1,Step22_EQ2,Step22_R1,Step22_R2,Step22_R3,Step22_D1,Step23_EQ1,Step23_R1,Step23_R2,Step23_D1,Step24_EQ1,Step24_R1,Step24_R2,Step24_D1,Step25_EQ1,Step25_R1,Step25_D1,Step26_EQ1,Step26_EQ2,Step26_R1,Step26_R2,Step26_R3,Step26_D1,Step26_D2,Step26_D3,Step27_EQ1,Step27_R1,Step27_R2,Step27_R3,Step27_D1,Step27_D2,Step28_EQ1,Step28_EQ2,Step28_R1,Step28_R2,Step28_R3,Step28_D1,Step28_D2,Step29_EQ1,Step29_R1,Step29_R2,Step29_R3,Step29_D1,Step29_D2,Step30_EQ1,Step30_EQ2,Step30_R1,Step30_R2,Step30_R3,Step30_D1,Step30_D2,Step30_D3,Y,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
L001W01,Model2_EQB_CH2,,,2506.090783,,Model1_EQC_CH1,1155.323831,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,,126.7766898,2776.221526,9,6,Model2_EQD_CH4,2916.354889,,2461.67059,,,,Model2_EQA_CH4,Model2_EQD_CH4,,1654.401912,,9,,12,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,1633.922776,744.9848572,161.8867884,,11,Model1_EQD_CH1,,,,Model1_EQB_CH2,1626.829407,,,Model2_EQA_CH2,Model1_EQA_CH3,2628.531143,2256.752631,,13,,9,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2036.524491,,,,,Model2_EQE_CH1,Model2_EQC_CH4,,,,Model1_EQE_CH1,1963.831369,1592.043967,11,Model1_EQB_CH1,1971.123346,,,11,13,,Model2_EQA_CH1,1020.8497,,,,Model1_EQC_CH1,,421.2050883,,,10,Model1_EQB_CH3,Model1_EQC_CH3,1330.313689,18,7,Model2_EQD_CH2,Model2_EQC_CH3,Model1_EQB_CH3,,5,10,14,Model1_EQB_CH3,1492.561761,1645.224252,,,,Model1_EQC_CH3,Model1_EQA_CH2,,6,6,Model2_EQA_CH2,Model2_EQA_CH3,Model1_EQA_CH3,2791.868805,8,4,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,,1719.209086,4,Model2_EQA_CH2,Model1_EQB_CH4,,,1636.206053,13,Model2_EQA_CH4,,1758.451608,8,Model2_EQD_CH2,1696.164866,,,Model2_EQD_CH3,,13,Model2_EQC_CH3,Model1_EQC_CH1,,1393.287627,,,,,Model2_EQE_CH2,335.6777997,2313.564838,,,,Model2_EQA_CH4,Model1_EQE_CH2,1126.032836,,444.3094665,11,9,Model1_EQE_CH1,,,2215.391365,8,,Model1_EQB_CH2,Model2_EQD_CH4,,2529.857464,,9,,14,88.4,3.7,1.1,2.6,0.6,3.6,48,296,112,79,154
L001W02,Model2_EQB_CH2,,,,8,Model1_EQE_CH2,911.2574154,,Model2_EQD_CH4,Model2_EQB_CH1,Model2_EQA_CH3,2354.400889,,2842.882502,,9,Model2_EQD_CH4,2441.919121,,,5,7,7,Model2_EQD_CH1,Model2_EQC_CH4,,1927.996524,3075.209339,10,9,11,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,,136.4802041,,,Model1_EQD_CH1,2420.731132,632.3146699,,Model2_EQB_CH4,,946.5867183,,Model2_EQA_CH2,Model2_EQE_CH2,3130.743883,2238.029003,,9,,,Model2_EQA_CH1,Model1_EQD_CH3,Model2_EQD_CH1,2344.99732,,,,,Model2_EQB_CH3,Model2_EQC_CH4,2226.147779,,9,Model1_EQD_CH2,,4714.793487,,Model1_EQC_CH1,1883.314247,333.6600521,,,,,Model2_EQE_CH4,1089.828223,2680.806597,9,,Model1_EQC_CH1,,,,,,Model1_EQB_CH3,Model1_EQC_CH3,,,,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,,,,,Model1_EQE_CH3,1576.183252,,135.0181686,,10,Model1_EQC_CH3,Model1_EQA_CH2,2422.404895,9,,Model2_EQA_CH2,Model1_EQC_CH4,Model2_EQD_CH2,,,9,Model2_EQB_CH2,Model2_EQB_CH4,Model1_EQB_CH3,,1273.738107,,Model1_EQA_CH4,Model1_EQB_CH4,299.6660671,647.7205517,1093.534237,,Model2_EQA_CH4,837.5325469,1711.979712,,Model2_EQD_CH2,1780.667937,74.27357289,18,Model2_EQD_CH3,113.7844482,,Model2_EQC_CH4,Model1_EQC_CH1,1239.214124,1040.841396,,12,9,12,Model2_EQB_CH1,335.6444655,,,8,,Model1_EQA_CH2,Model1_EQE_CH2,,,383.4613812,,11,Model1_EQB_CH1,1480.98713,2392.300802,,10,,Model1_EQB_CH2,Model2_EQD_CH4,,2163.593805,,13,10,11,91.5,1.1,2.4,1.3,0,3.7,48,303,130,85,131
L001W03,Model2_EQB_CH2,1991.569908,,2463.613371,11,Model1_EQE_CH2,,,Model1_EQE_CH4,Model2_EQB_CH1,Model1_EQD_CH1,2143.445845,152.601702,2352.812395,,3,Model2_EQD_CH4,2585.205777,,,,10,,Model2_EQD_CH1,Model2_EQD_CH4,1990.05064,1560.074687,,11,,13,Model2_EQC_CH1,Model2_EQA_CH3,Model2_EQC_CH3,,,171.6644322,,,Model2_EQC_CH3,,734.8746394,,Model2_EQB_CH4,1897.362252,1038.775932,13,Model2_EQA_CH2,Model2_EQE_CH2,,2139.005818,,,,,Model1_EQC_CH3,Model2_EQC_CH1,Model2_EQD_CH1,2671.212784,869.4024339,,,,Model2_EQE_CH1,Model1_EQC_CH3,2710.69895,,,Model1_EQD_CH2,2340.305656,,10,Model1_EQB_CH1,2050.010558,,,,,,Model1_EQB_CH1,954.4439548,2639.86696,,13,Model1_EQC_CH1,1784.14487,,11,11,10,Model1_EQD_CH3,Model2_EQA_CH3,1184.232595,,7,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,,,,,Model1_EQE_CH3,,,132.0816812,6,13,Model1_EQB_CH1,Model1_EQB_CH4,1936.568838,8,11,Model2_EQA_CH2,Model2_EQE_CH3,Model1_EQA_CH3,,13,10,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,,1760.770449,,Model2_EQA_CH2,Model1_EQB_CH4,369.2291937,699.0685712,1245.042643,,Model2_EQA_CH4,837.7530348,,13,Model2_EQD_CH2,,99.28815019,,Model2_EQD_CH3,,,Model2_EQC_CH2,Model1_EQC_CH1,1143.512242,,,,9,,Model2_EQB_CH1,325.1167565,2116.667218,,12,,Model2_EQA_CH4,Model1_EQE_CH2,,,302.6618877,9,,Model1_EQE_CH1,1534.616802,2170.029563,,13,5,Model1_EQB_CH2,Model2_EQD_CH4,,2251.585227,1198.956546,8,11,,84.3,6.8,4.2,3.2,1.3,0.2,50,319,134,80,147
L001W04,Model2_EQB_CH2,,930.1051702,2513.135151,,Model1_EQD_CH3,815.9835959,,Model1_EQA_CH2,Model1_EQE_CH3,Model2_EQA_CH3,,139.2176729,2547.910088,,,Model2_EQD_CH2,,1529.406,2797.134767,9,2,5,Model2_EQD_CH1,Model2_EQD_CH4,1882.067324,1719.394306,,10,10,,Model2_EQE_CH4,Model1_EQD_CH4,Model2_EQC_CH3,,,,,14,Model1_EQB_CH1,,,8,Model2_EQB_CH4,,,,Model2_EQA_CH2,Model2_EQE_CH2,,2097.333984,2709.945237,12,,,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQA_CH2,,,,10,5,Model2_EQE_CH1,Model2_EQC_CH4,,11,,Model1_EQD_CH2,,,12,Model1_EQB_CH1,1996.41011,,,9,7,7,Model2_EQA_CH4,,,,,Model1_EQC_CH1,1863.075476,483.206528,18,12,7,Model1_EQB_CH3,Model1_EQC_CH3,,,,Model2_EQB_CH4,Model2_EQB_CH3,Model1_EQC_CH4,,,8,8,Model1_EQE_CH3,,,115.7853711,7,9,Model1_EQD_CH2,Model1_EQA_CH2,2317.232504,,6,Model1_EQB_CH1,Model1_EQB_CH4,Model1_EQA_CH3,2785.401053,,13,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2396.144068,1832.789602,,Model2_EQA_CH2,Model1_EQB_CH4,301.3428005,660.0769918,1086.087954,12,Model2_EQA_CH4,832.6429902,1509.451814,,Model1_EQC_CH3,1923.156484,88.40865872,13,Model2_EQD_CH3,113.2363601,15,Model2_EQC_CH4,Model1_EQC_CH1,,1414.099228,1245.223089,10,8,,Model2_EQD_CH3,286.6791027,,1924.432205,,12,Model1_EQA_CH3,Model1_EQE_CH2,,838.1603107,376.0915659,,,Model1_EQE_CH1,1492.712358,,,,15,Model2_EQB_CH4,Model2_EQD_CH4,3149.4364,2210.448258,1606.449315,17,,,85.5,1.8,3.9,1.3,0.9,6.6,50,302,117,76,143
L001W05,Model2_EQB_CH2,1481.516803,928.8266012,2041.622338,14,Model1_EQE_CH2,967.0313389,,Model1_EQB_CH2,Model2_EQB_CH1,Model2_EQA_CH3,1630.668944,,,,11,Model1_EQB_CH2,2567.965203,,2125.37959,15,,,Model2_EQD_CH1,Model2_EQD_CH4,,1684.564036,,14,6,,Model1_EQC_CH1,Model1_EQD_CH4,Model2_EQD_CH4,1564.489543,693.9900131,,,,Model1_EQD_CH1,2226.507531,,,Model2_EQB_CH4,1777.797142,979.7015646,,Model1_EQD_CH2,Model1_EQC_CH1,,2559.727661,,9,,12,Model1_EQC_CH3,Model1_EQD_CH1,Model2_EQD_CH1,2806.979824,828.4618662,,7,9,Model2_EQE_CH1,Model2_EQB_CH2,,,8,Model1_EQD_CH2,,,,Model1_EQB_CH1,,,,9,,,Model1_EQE_CH1,1040.412114,,9,,Model1_EQC_CH1,1974.018461,423.339179,,,,Model1_EQB_CH3,Model1_EQC_CH3,1222.936236,8,11,Model2_EQC_CH1,Model1_EQA_CH2,Model1_EQC_CH4,,12,,5,Model1_EQE_CH3,1456.924317,,109.945489,6,12,Model1_EQC_CH3,Model2_EQC_CH3,,8,,Model1_EQD_CH1,Model1_EQC_CH4,Model1_EQA_CH3,2970.735215,10,12,Model2_EQA_CH2,Model2_EQB_CH4,Model1_EQE_CH2,2726.789331,1461.626816,,Model2_EQA_CH2,Model1_EQC_CH1,,608.1023102,,,Model2_EQA_CH4,815.0928458,1652.710586,,Model2_EQD_CH2,1763.982082,,12,Model2_EQD_CH3,134.5068965,,Model1_EQE_CH4,Model1_EQC_CH1,962.7408197,1321.452787,,11,,8,Model2_EQB_CH1,356.4971031,2108.614582,2241.138572,9,,Model2_EQA_CH4,Model1_EQE_CH2,,873.1764346,,,,Model1_EQE_CH1,1309.382012,,,,14,Model1_EQB_CH2,Model2_EQA_CH1,2802.10904,2415.367441,,,,10,87.2,6.5,0.8,2.6,1.4,1.5,56,279,125,89,167
L001W06,Model2_EQB_CH2,,,2545.028617,,Model1_EQE_CH2,,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,1791.470397,133.1046773,2700.522606,,7,Model2_EQD_CH4,2573.914302,1446.956513,,9,,13,Model2_EQD_CH1,Model2_EQD_CH4,1991.608966,1455.161077,3022.235925,14,7,14,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,800.1819167,,,,Model1_EQD_CH1,2501.745793,,6,Model2_EQB_CH4,,,10,Model2_EQA_CH2,Model2_EQE_CH2,2851.673529,2273.958641,3268.774427,13,,,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2626.88285,878.9641331,,12,,Model2_EQE_CH1,Model2_EQC_CH4,2870.952228,12,,Model1_EQD_CH2,2187.480559,,9,Model1_EQB_CH1,,390.3686914,,13,,,Model1_EQB_CH1,,,,,Model1_EQA_CH4,2184.317357,,9,8,,Model1_EQB_CH3,Model1_EQC_CH3,1058.577657,,9,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,1821.862134,9,,,Model1_EQE_CH3,1537.713753,1483.57081,-108.7410776,10,10,Model1_EQC_CH3,Model1_EQA_CH2,1892.530759,,8,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,,9,11,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,,1729.583531,,Model2_EQA_CH2,Model1_EQB_CH4,340.8680347,615.698292,1373.874156,13,Model2_EQA_CH4,881.8513401,,,Model2_EQD_CH2,,85.64225424,,Model2_EQD_CH3,128.079846,19,Model2_EQC_CH4,Model1_EQC_CH1,1474.384415,1368.888464,,13,,,Model1_EQB_CH1,337.7861034,,2026.565307,,,Model2_EQA_CH4,Model1_EQE_CH2,,,,11,6,Model1_EQB_CH1,,,2509.585661,10,,Model1_EQB_CH2,Model2_EQD_CH4,,,1596.338112,6,,10,83.6,2.7,5.3,5.2,0.5,2.7,45,312,120,81,138
L001W07,Model2_EQB_CH2,,,,,Model1_EQE_CH2,969.137131,6,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,-2250.713789,,,,7,Model1_EQD_CH3,,1543.346617,,10,,11,Model2_EQD_CH1,Model2_EQD_CH4,,1786.543267,2852.583962,22,8,,Model2_EQC_CH1,Model1_EQA_CH2,Model2_EQC_CH3,,,,,,Model1_EQD_CH1,2604.989331,664.0928007,10,Model2_EQB_CH4,,989.9748765,,Model2_EQA_CH4,Model2_EQE_CH2,,1901.493655,2462.555992,,18,14,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2502.065815,,12,7,11,Model2_EQE_CH1,Model2_EQC_CH4,2925.715827,10,12,Model1_EQD_CH2,,,4,Model2_EQE_CH3,1792.736057,,2451.116941,8,,,Model1_EQB_CH1,,2329.237248,13,,Model2_EQA_CH4,,,,,4,Model1_EQB_CH3,Model1_EQC_CH3,1261.15684,,15,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,2102.068843,15,,,Model1_EQE_CH3,1539.380354,,99.88269803,13,10,Model1_EQC_CH3,Model1_EQA_CH2,,,8,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,2826.823103,18,,Model1_EQA_CH1,Model2_EQB_CH4,Model1_EQE_CH2,,,8,Model2_EQA_CH2,Model1_EQE_CH4,355.8204806,,1224.394798,,Model2_EQA_CH4,,1908.53516,,Model2_EQD_CH2,,77.351912,6,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQC_CH1,,1227.80314,1129.969369,,16,,Model2_EQB_CH1,326.3011785,1896.232827,2432.040871,9,15,Model2_EQA_CH4,Model1_EQE_CH2,1175.905669,,373.93304,,,Model1_EQE_CH1,1451.395346,1985.930366,1990.521746,,6,Model1_EQB_CH2,Model2_EQD_CH4,,,,7,,7,91.2,1.6,0.8,1.9,1.1,3.4,49,328,112,101,147
L001W08,Model2_EQB_CH2,1526.066139,951.5567894,2488.33228,7,Model1_EQE_CH2,822.9580126,,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,2056.060975,153.9248268,,11,7,Model2_EQD_CH4,2125.465388,1547.928981,2627.970362,8,,11,Model2_EQD_CH1,Model2_EQD_CH4,1801.439244,,,6,,9,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,1432.895071,,146.0662913,,,Model2_EQC_CH4,,,,Model2_EQB_CH4,1825.807488,,7,Model2_EQA_CH2,Model2_EQE_CH2,,1944.769517,2691.58311,,,,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2033.406322,871.4996331,12,,,Model2_EQE_CH1,Model2_EQC_CH4,,8,,Model1_EQD_CH2,,1389.810975,10,Model2_EQD_CH3,,345.1664128,2263.957055,,7,,Model2_EQC_CH1,1010.976867,2262.132022,,,Model1_EQC_CH1,,,,,12,Model1_EQC_CH4,Model1_EQC_CH3,1204.946133,,5,Model2_EQD_CH2,Model1_EQE_CH4,Model1_EQC_CH4,1829.284646,,15,,Model1_EQE_CH3,,,,11,9,Model2_EQC_CH2,Model1_EQA_CH2,,7,7,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,1920.262828,,,Model1_EQD_CH1,Model2_EQB_CH4,Model1_EQE_CH2,,,,Model2_EQA_CH2,Model1_EQB_CH4,333.3958845,678.6164965,1114.864389,,Model2_EQA_CH4,824.0252009,,,Model2_EQD_CH2,,86.02386037,,Model2_EQD_CH3,122.2886309,13,Model2_EQC_CH4,Model1_EQC_CH1,1250.599835,1322.713756,1398.691224,9,,,Model2_EQB_CH1,374.310025,2650.27495,2467.388332,11,,Model2_EQC_CH4,Model1_EQE_CH2,,917.1624777,400.243678,,,Model1_EQA_CH4,1274.067899,1983.988865,2593.298514,,7,Model1_EQB_CH2,Model2_EQD_CH4,2919.159418,2470.80132,1182.412587,,,,81.1,10.5,1.5,0.9,4.7,1.3,53,295,114,81,136
L001W09,Model2_EQB_CH2,,,,7,Model1_EQE_CH2,931.4443189,,Model1_EQD_CH2,Model2_EQC_CH2,Model2_EQA_CH3,1736.94374,142.2994677,2915.572898,,9,Model2_EQD_CH4,2674.417461,1242.634946,2856.319472,,,13,Model2_EQD_CH1,Model2_EQD_CH4,,1723.718514,,,,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQA_CH3,,,,,9,Model1_EQD_CH1,2200.789581,581.7455929,8,Model1_EQC_CH3,1943.276689,951.776996,9,Model2_EQA_CH2,Model2_EQE_CH2,,1959.0147,,,13,16,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2291.607666,,7,,9,Model2_EQE_CH1,Model2_EQC_CH4,,,,Model1_EQD_CH2,2238.388879,,,Model1_EQB_CH1,2159.894532,330.7575131,,7,,,Model1_EQB_CH1,1063.806332,,,,Model1_EQC_CH4,1593.916214,508.8666239,,,5,Model1_EQB_CH3,Model1_EQC_CH3,,6,,Model2_EQD_CH2,Model1_EQE_CH4,Model2_EQD_CH2,1948.595286,,7,,Model1_EQE_CH3,1313.102431,1515.318178,117.0773995,16,,Model2_EQB_CH3,Model1_EQA_CH2,,,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,2507.866162,8,7,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,7664.347502,1604.673536,,Model2_EQA_CH2,Model1_EQB_CH4,368.8663559,651.6372122,1349.150141,,Model2_EQA_CH4,,,,Model2_EQD_CH2,1666.773849,,,Model2_EQD_CH3,,9,Model2_EQC_CH4,Model2_EQE_CH1,,1313.207831,1119.212067,5,,,Model2_EQB_CH1,,,2351.234212,13,,Model2_EQA_CH4,Model1_EQE_CH2,,,,7,,Model2_EQE_CH3,,,2159.085398,,,Model1_EQB_CH2,Model1_EQD_CH3,,,,,11,,87.4,0.8,1.6,1.8,0.7,7.7,53,312,121,73,157
L001W10,Model2_EQB_CH2,1659.368167,,,,Model1_EQE_CH2,841.2360198,14,Model1_EQE_CH4,Model2_EQB_CH1,Model2_EQA_CH3,2103.510433,,13369.72341,,8,Model2_EQD_CH4,2631.894196,1585.169205,2374.094571,,14,13,Model2_EQC_CH2,Model2_EQD_CH4,1971.429806,1423.099558,3190.857117,8,,,Model2_EQC_CH1,Model1_EQD_CH4,Model2_EQC_CH3,,687.5683974,145.9029367,,,Model1_EQD_CH1,,604.6667446,8,Model2_EQB_CH4,8687.038302,808.453164,,Model2_EQA_CH2,Model2_EQC_CH1,,,2730.086444,11,,,Model1_EQC_CH3,Model1_EQC_CH1,Model2_EQD_CH1,2227.702168,766.9184132,7,,,Model2_EQE_CH1,Model2_EQA_CH2,2524.939693,8,13,Model1_EQD_CH2,1986.954792,1455.040868,,Model1_EQB_CH1,2140.9133,361.5457217,,,12,12,Model1_EQB_CH1,1167.537982,2462.770218,11,12,Model1_EQC_CH1,1888.789809,,,,9,Model1_EQB_CH3,Model1_EQC_CH3,,10,7,Model1_EQE_CH4,Model1_EQE_CH2,Model1_EQC_CH4,2084.209834,,,9,Model1_EQE_CH3,-1588.168435,1652.434975,102.9611229,10,,Model1_EQC_CH3,Model1_EQA_CH2,2004.901779,10,,Model2_EQA_CH2,Model1_EQC_CH4,Model1_EQA_CH3,2172.555083,,19,Model2_EQE_CH2,Model2_EQB_CH4,Model1_EQE_CH2,3140.573512,,,Model2_EQA_CH2,Model2_EQE_CH2,,694.206821,,,Model2_EQA_CH4,,1947.797451,,Model2_EQD_CH2,,80.4014171,,Model2_EQD_CH3,,,Model2_EQC_CH4,Model1_EQD_CH4,,1334.491919,1145.608248,,10,,Model2_EQB_CH1,,2434.568834,,,13,Model2_EQA_CH4,Model1_EQE_CH2,1101.847288,,,14,12,Model1_EQB_CH4,1317.565522,1659.23604,,,10,Model1_EQB_CH2,Model2_EQD_CH4,,2429.232385,1452.53343,,,,86.8,5.4,1,3.5,1.4,1.9,42,279,115,74,163
