Lot_Wafer_ID,Lot_ID,Wafer_Slot,Step1_Config,Step2_Config,Step3_Config,Step4_Config,Step5_Config,Step6_Config,Step7_Config,Step8_Config,Step9_Config,Step10_Config,Step11_Config,Step12_Config,Step13_Config,Step14_Config,Step15_Config,Step16_Config,Step17_Config,Step18_Config,Step19_Config,Step20_Config,Step21_Config,Step22_Config,Step23_Config,Step24_Config,Step25_Config,Step26_Config,Step27_Config,Step28_Config,Step29_Config,Step30_Config,Step1_R1,Step2_R1,Step3_R1,Step4_R1,Step4_R2,Step5_R1,Step6_R1,Step6_R2,Step7_R1,Step7_R2,Step8_R1,Step9_R1,Step9_R2,Step10_R1,Step11_R1,Step12_R1,Step12_R2,Step13_R1,Step13_R2,Step13_R3,Step14_R1,Step14_R2,Step14_R3,Step15_R1,Step15_R2,Step16_R1,Step17_R1,Step18_R1,Step19_R1,Step20_R1,Step21_R1,Step22_R1,Step22_R2,Step22_R3,Step23_R1,Step24_R1,Step24_R2,Step25_R1,Step25_R2,Step25_R3,Step26_R1,Step27_R1,Step28_R1,Step28_R2,Step28_R3,Step29_R1,Step29_R2,Step30_R1,Step1_D1,Step6_D1,Step8_D1,Step11_D1,Step13_D1,Step14_D1,Step21_D1,Step22_D1,Step27_D1,Step30_D1,Y,Y1,Y2,Y3,Y4,Y5
L001W01,L001,1,Step1_Model3_EQC_CH2,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH1,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH1,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH3,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH2,Step11_Model2_EQA_CH2,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH2,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH4,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH1,Step19_Model2_EQA_CH3,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH4,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH3,Step29_Model1_EQB_CH4,Step30_Model2_EQC_CH3,,,,,45.57,,,,,,,,,,,55.95,,,40.03,,,,,,,,,,,,,,,,43.1,,75.03,,,63.28,,,,,,,,,,,,,,9,,8,,11,,,,,,
L001W02,L001,2,Step1_Model3_EQC_CH3,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH3,Step6_Model3_EQA_CH2,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH4,Step10_Model2_EQA_CH2,Step11_Model2_EQA_CH2,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH4,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH1,Step19_Model2_EQA_CH4,Step20_Model1_EQA_CH3,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH4,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH3,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH4,Step27_Model2_EQA_CH3,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH3,Step30_Model2_EQC_CH2,,,,,,,,,64.65,,,,,,46.28,,,,,,,,43.03,,,,,,,,,,,,,57.15,,,,,,,63.36,,,,,,,,,,,,,,,,,,,,,
L001W03,L001,3,Step1_Model3_EQC_CH3,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH3,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH3,Step13_Model2_EQB_CH2,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH3,Step17_Model1_EQA_CH4,Step18_Model1_EQC_CH1,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH3,Step22_Model2_EQC_CH3,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH3,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH2,Step30_Model2_EQC_CH4,,,,,,,,,67.84,,,39.39,,,,,58.38,,,39.28,,,,,,50.44,,,,,,,,,,,,,66.56,63.8,,,,61.62,,,50.34,,,,,,,,,,,,,,,,,
L001W04,L001,4,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH2,Step6_Model3_EQA_CH1,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH2,Step9_Model2_EQB_CH4,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH1,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH1,Step17_Model1_EQA_CH3,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH4,Step20_Model1_EQA_CH4,Step21_Model3_EQC_CH3,Step22_Model2_EQC_CH4,Step23_Model1_EQB_CH4,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH1,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH3,Step30_Model2_EQC_CH1,,,38.34,,,,,,,,,,39.45,,,,,,,,,39.16,,,,,,,,,,,,50.26,,,,,,,,,,,,55.81,,,,,,,,,,,,,,,,,,
L001W05,L001,5,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH2,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH2,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH2,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH3,Step12_Model1_EQB_CH1,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH2,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH2,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH2,Step20_Model1_EQA_CH3,Step21_Model3_EQC_CH4,Step22_Model2_EQC_CH1,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH4,Step27_Model2_EQA_CH1,Step28_Model1_EQB_CH2,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH4,,,,,,,,,,,,,,,,,,,,,,,,,19.35,,,60.91,,,,43.84,,,,,,,,,,,,60.63,,,52.14,,,,10,,8,,,,,,,,,,,
L001W06,L001,6,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH3,Step6_Model3_EQA_CH3,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH3,Step13_Model2_EQB_CH3,Step14_Model3_EQB_CH2,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH2,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH2,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH3,Step23_Model1_EQB_CH2,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH3,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH2,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH2,Step30_Model2_EQC_CH1,40.49,,,,,,,64.4,,,,,,,41.18,,,,48.67,,,,39.43,,,,,,61.35,,58.75,,,,,,,,,59.57,,,,,,,,37.06,,,,,7,6,,,,,,,,,,
L001W07,L001,7,Step1_Model3_EQC_CH4,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH1,Step5_Model1_EQC_CH1,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH3,Step12_Model1_EQB_CH4,Step13_Model2_EQB_CH1,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH4,Step17_Model1_EQA_CH4,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH2,Step23_Model1_EQB_CH3,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH1,Step26_Model3_EQC_CH1,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH2,42.2,,,,,,,61.5,,,50.34,,,,,,,47.51,,,,,,,,,,,,,,,,,,,55.91,62.59,,,,,65.32,,,,,,,,,,,,,,,,,,,,,
L001W08,L001,8,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH4,Step5_Model1_EQC_CH1,Step6_Model3_EQA_CH4,Step7_Model1_EQC_CH3,Step8_Model3_EQC_CH1,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH4,Step11_Model2_EQA_CH3,Step12_Model1_EQB_CH1,Step13_Model2_EQB_CH4,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH4,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH1,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH3,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH2,Step22_Model2_EQC_CH3,Step23_Model1_EQB_CH4,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH4,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH4,Step28_Model1_EQB_CH3,Step29_Model1_EQB_CH2,Step30_Model2_EQC_CH3,,,,42.88,,,,65.87,59.15,,,40.64,,,,,,,,,,,42.22,,,,,,,,76.65,,,,,58.28,,,,,,,,,,,,,,,,,,,,13,,14,,,,,,
L001W09,L001,9,Step1_Model3_EQC_CH2,Step2_Model1_EQA_CH3,Step3_Model2_EQA_CH3,Step4_Model3_EQC_CH2,Step5_Model1_EQC_CH2,Step6_Model3_EQA_CH2,Step7_Model1_EQC_CH1,Step8_Model3_EQC_CH4,Step9_Model2_EQB_CH1,Step10_Model2_EQA_CH1,Step11_Model2_EQA_CH3,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH4,Step14_Model3_EQB_CH3,Step15_Model3_EQA_CH1,Step16_Model3_EQB_CH2,Step17_Model1_EQA_CH3,Step18_Model1_EQC_CH2,Step19_Model2_EQA_CH3,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH1,Step22_Model2_EQC_CH4,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH4,Step25_Model3_EQB_CH2,Step26_Model3_EQC_CH3,Step27_Model2_EQA_CH1,Step28_Model1_EQB_CH4,Step29_Model1_EQB_CH1,Step30_Model2_EQC_CH4,,,,,,,80.75,,,,,39.18,36.29,,,,,,,37.88,,,,,,59.33,,,,,,42.04,43.9,42.89,,,,,,,,,,,,,54.15,35.19,,,,,,,,,,,,,,,,
L001W10,L001,10,Step1_Model3_EQC_CH1,Step2_Model1_EQA_CH4,Step3_Model2_EQA_CH4,Step4_Model3_EQC_CH2,Step5_Model1_EQC_CH4,Step6_Model3_EQA_CH2,Step7_Model1_EQC_CH4,Step8_Model3_EQC_CH3,Step9_Model2_EQB_CH3,Step10_Model2_EQA_CH3,Step11_Model2_EQA_CH4,Step12_Model1_EQB_CH2,Step13_Model2_EQB_CH2,Step14_Model3_EQB_CH4,Step15_Model3_EQA_CH3,Step16_Model3_EQB_CH3,Step17_Model1_EQA_CH2,Step18_Model1_EQC_CH3,Step19_Model2_EQA_CH1,Step20_Model1_EQA_CH2,Step21_Model3_EQC_CH3,Step22_Model2_EQC_CH2,Step23_Model1_EQB_CH1,Step24_Model1_EQA_CH2,Step25_Model3_EQB_CH2,Step26_Model3_EQC_CH2,Step27_Model2_EQA_CH2,Step28_Model1_EQB_CH1,Step29_Model1_EQB_CH4,Step30_Model2_EQC_CH2,,,,,,,,66.32,,,,,,,,,,,,,,,,,35.21,,,,,,45.15,,,,,,,62.8,,,40.84,,,,,51.98,53.41,,10,,,,,,,,,,,,,,,
