Lot_Wafer_ID,Lot_ID,Wafer_Slot,Step1_Config,Step2_Config,Step3_Config,Step4_Config,Step5_Config,Step6_Config,Step7_Config,Step8_Config,Step9_Config,Step10_Config,Step11_Config,Step12_Config,Step13_Config,Step14_Config,Step15_Config,Step16_Config,Step17_Config,Step18_Config,Step19_Config,Step20_Config,Step21_Config,Step22_Config,Step23_Config,Step24_Config,Step25_Config,Step26_Config,Step27_Config,Step28_Config,Step29_Config,Step30_Config,Step1_R1,Step2_R1,Step3_R1,Step4_R1,Step4_R2,Step5_R1,Step6_R1,Step6_R2,Step7_R1,Step7_R2,Step8_R1,Step9_R1,Step9_R2,Step10_R1,Step11_R1,Step12_R1,Step12_R2,Step13_R1,Step13_R2,Step13_R3,Step14_R1,Step14_R2,Step14_R3,Step15_R1,Step15_R2,Step16_R1,Step17_R1,Step18_R1,Step19_R1,Step20_R1,Step21_R1,Step22_R1,Step22_R2,Step22_R3,Step23_R1,Step24_R1,Step24_R2,Step25_R1,Step25_R2,Step25_R3,Step26_R1,Step27_R1,Step28_R1,Step28_R2,Step28_R3,Step29_R1,Step29_R2,Step30_R1,Step1_D1,Step6_D1,Step8_D1,Step11_D1,Step13_D1,Step14_D1,Step21_D1,Step22_D1,Step27_D1,Step30_D1,Y,Y1,Y2,Y3,Y4,Y5
T001_W01,T001,1,Step1_Model1_EQC_CH1,Step2_Model2_EQB_CH1,Step3_Model1_EQC_CH1,Step4_Model1_EQB_CH3,Step5_Model1_EQB_CH4,Step6_Model1_EQC_CH4,Step7_Model1_EQA_CH3,Step8_Model2_EQB_CH1,Step9_Model1_EQA_CH1,Step10_Model3_EQA_CH4,Step11_Model1_EQB_CH4,Step12_Model2_EQC_CH4,Step13_Model2_EQC_CH4,Step14_Model1_EQB_CH3,Step15_Model1_EQC_CH3,Step16_Model1_EQB_CH3,Step17_Model2_EQC_CH3,Step18_Model1_EQC_CH1,Step19_Model1_EQB_CH1,Step20_Model1_EQC_CH1,Step21_Model1_EQC_CH3,Step22_Model3_EQA_CH2,Step23_Model2_EQC_CH4,Step24_Model1_EQB_CH4,Step25_Model1_EQA_CH2,Step26_Model1_EQB_CH4,Step27_Model2_EQC_CH2,Step28_Model1_EQA_CH4,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH1,,,,51.60573741204902,,,,,,,,,,,,,,,,,,,,,46.033077036312875,,46.288762662246484,52.30847370365895,46.304046710519366,,,,,,43.30796671864387,61.62392520061521,,42.42145164,,,,,,,,,,,,9,,16,,,,,,,,,,,,
T001_W02,T001,2,Step1_Model1_EQC_CH3,Step2_Model2_EQB_CH1,Step3_Model1_EQC_CH1,Step4_Model1_EQB_CH3,Step5_Model1_EQB_CH4,Step6_Model1_EQC_CH1,Step7_Model1_EQA_CH2,Step8_Model2_EQB_CH3,Step9_Model1_EQA_CH3,Step10_Model3_EQA_CH4,Step11_Model1_EQB_CH4,Step12_Model2_EQC_CH3,Step13_Model2_EQC_CH3,Step14_Model1_EQB_CH3,Step15_Model1_EQC_CH2,Step16_Model1_EQB_CH1,Step17_Model2_EQC_CH1,Step18_Model1_EQC_CH1,Step19_Model1_EQB_CH2,Step20_Model1_EQC_CH3,Step21_Model1_EQC_CH3,Step22_Model3_EQA_CH3,Step23_Model2_EQC_CH4,Step24_Model1_EQB_CH1,Step25_Model1_EQA_CH1,Step26_Model1_EQB_CH3,Step27_Model2_EQC_CH2,Step28_Model1_EQA_CH3,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH4,,36.34904119578008,,40.542033367760034,,,,,,,,,,,,,43.78400425,,,,,,,,,,,,,,,41.52877169797006,,,,62.484306356945396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T001_W03,T001,3,Step1_Model1_EQC_CH3,Step2_Model2_EQB_CH3,Step3_Model1_EQC_CH3,Step4_Model1_EQB_CH2,Step5_Model1_EQB_CH1,Step6_Model1_EQC_CH1,Step7_Model1_EQA_CH4,Step8_Model2_EQB_CH2,Step9_Model1_EQA_CH2,Step10_Model3_EQA_CH2,Step11_Model1_EQB_CH2,Step12_Model2_EQC_CH3,Step13_Model2_EQC_CH2,Step14_Model1_EQB_CH2,Step15_Model1_EQC_CH2,Step16_Model1_EQB_CH3,Step17_Model2_EQC_CH4,Step18_Model1_EQC_CH1,Step19_Model1_EQB_CH3,Step20_Model1_EQC_CH2,Step21_Model1_EQC_CH2,Step22_Model3_EQA_CH4,Step23_Model2_EQC_CH4,Step24_Model1_EQB_CH2,Step25_Model1_EQA_CH3,Step26_Model1_EQB_CH3,Step27_Model2_EQC_CH4,Step28_Model1_EQA_CH3,Step29_Model1_EQC_CH2,Step30_Model1_EQA_CH3,,,,,,63.60292510310944,,,,,,,,61.818837582463416,,,53.56206316972102,37.37998726549421,,,43.130466893724105,,,,,,,62.117522486749344,,,,48.30283381683397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T001_W04,T001,4,Step1_Model1_EQC_CH4,Step2_Model2_EQB_CH3,Step3_Model1_EQC_CH4,Step4_Model1_EQB_CH4,Step5_Model1_EQB_CH1,Step6_Model1_EQC_CH2,Step7_Model1_EQA_CH2,Step8_Model2_EQB_CH3,Step9_Model1_EQA_CH1,Step10_Model3_EQA_CH1,Step11_Model1_EQB_CH2,Step12_Model2_EQC_CH4,Step13_Model2_EQC_CH1,Step14_Model1_EQB_CH3,Step15_Model1_EQC_CH4,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH4,Step18_Model1_EQC_CH2,Step19_Model1_EQB_CH2,Step20_Model1_EQC_CH1,Step21_Model1_EQC_CH4,Step22_Model3_EQA_CH4,Step23_Model2_EQC_CH1,Step24_Model1_EQB_CH1,Step25_Model1_EQA_CH1,Step26_Model1_EQB_CH3,Step27_Model2_EQC_CH2,Step28_Model1_EQA_CH3,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH3,,,,,,,,,,,,,,62.12361096929071,,,,,,,,41.021459966552946,63.59277222215535,,,,,,,,48.34460847921168,,,,,,,,,40.97340616077297,,,52.67277172877426,,,,,,,,,,,,,,,,,,,,,
T001_W05,T001,5,Step1_Model1_EQC_CH1,Step2_Model2_EQB_CH4,Step3_Model1_EQC_CH2,Step4_Model1_EQB_CH3,Step5_Model1_EQB_CH4,Step6_Model1_EQC_CH4,Step7_Model1_EQA_CH2,Step8_Model2_EQB_CH1,Step9_Model1_EQA_CH1,Step10_Model3_EQA_CH1,Step11_Model1_EQB_CH4,Step12_Model2_EQC_CH2,Step13_Model2_EQC_CH3,Step14_Model1_EQB_CH4,Step15_Model1_EQC_CH1,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH1,Step18_Model1_EQC_CH2,Step19_Model1_EQB_CH3,Step20_Model1_EQC_CH4,Step21_Model1_EQC_CH1,Step22_Model3_EQA_CH2,Step23_Model2_EQC_CH4,Step24_Model1_EQB_CH1,Step25_Model1_EQA_CH3,Step26_Model1_EQB_CH4,Step27_Model2_EQC_CH4,Step28_Model1_EQA_CH2,Step29_Model1_EQC_CH3,Step30_Model1_EQA_CH1,43.31310814795461,,,,,,,,,,30.84668153371868,,,56.084845136838815,,,,,,,41.73324286579456,,57.872202121951936,,,,,54.03372056316104,,,45.47917436285753,,49.97270172,,53.63094600885876,,,,47.03710597222184,,,,55.632209039008345,,,38.514242681936906,64.11220962,,,,,,,,,,,,,,,,,
T001_W06,T001,6,Step1_Model1_EQC_CH3,Step2_Model2_EQB_CH2,Step3_Model1_EQC_CH2,Step4_Model1_EQB_CH3,Step5_Model1_EQB_CH4,Step6_Model1_EQC_CH2,Step7_Model1_EQA_CH2,Step8_Model2_EQB_CH3,Step9_Model1_EQA_CH2,Step10_Model3_EQA_CH4,Step11_Model1_EQB_CH4,Step12_Model2_EQC_CH4,Step13_Model2_EQC_CH1,Step14_Model1_EQB_CH2,Step15_Model1_EQC_CH3,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH4,Step18_Model1_EQC_CH3,Step19_Model1_EQB_CH3,Step20_Model1_EQC_CH3,Step21_Model1_EQC_CH1,Step22_Model3_EQA_CH2,Step23_Model2_EQC_CH4,Step24_Model1_EQB_CH2,Step25_Model1_EQA_CH2,Step26_Model1_EQB_CH1,Step27_Model2_EQC_CH4,Step28_Model1_EQA_CH2,Step29_Model1_EQC_CH2,Step30_Model1_EQA_CH1,,,,,,,,,,,,,40.49613563249521,,,,,,54.98853618308318,,,28.140698087555982,,48.368102701760414,,,,,,,,,,,,,,,,,,,,33.08455814,,,,,,,,,12,,,,,9,,,,,,
T001_W07,T001,7,Step1_Model1_EQC_CH1,Step2_Model2_EQB_CH3,Step3_Model1_EQC_CH4,Step4_Model1_EQB_CH4,Step5_Model1_EQB_CH1,Step6_Model1_EQC_CH3,Step7_Model1_EQA_CH2,Step8_Model2_EQB_CH4,Step9_Model1_EQA_CH3,Step10_Model3_EQA_CH2,Step11_Model1_EQB_CH2,Step12_Model2_EQC_CH3,Step13_Model2_EQC_CH4,Step14_Model1_EQB_CH4,Step15_Model1_EQC_CH4,Step16_Model1_EQB_CH3,Step17_Model2_EQC_CH3,Step18_Model1_EQC_CH2,Step19_Model1_EQB_CH4,Step20_Model1_EQC_CH4,Step21_Model1_EQC_CH3,Step22_Model3_EQA_CH4,Step23_Model2_EQC_CH1,Step24_Model1_EQB_CH4,Step25_Model1_EQA_CH1,Step26_Model1_EQB_CH4,Step27_Model2_EQC_CH1,Step28_Model1_EQA_CH1,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH1,,,,48.26074008821663,,68.76822566,,,,,,,,,,,,,,,,43.93810445904774,,,,,,,,,,,55.69411606448029,,,,,,,,,,,,,,,45.177611440588876,,,,,,,,,,,,,,,,
T001_W08,T001,8,Step1_Model1_EQC_CH2,Step2_Model2_EQB_CH1,Step3_Model1_EQC_CH4,Step4_Model1_EQB_CH4,Step5_Model1_EQB_CH2,Step6_Model1_EQC_CH2,Step7_Model1_EQA_CH4,Step8_Model2_EQB_CH4,Step9_Model1_EQA_CH3,Step10_Model3_EQA_CH3,Step11_Model1_EQB_CH1,Step12_Model2_EQC_CH1,Step13_Model2_EQC_CH1,Step14_Model1_EQB_CH2,Step15_Model1_EQC_CH3,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH1,Step18_Model1_EQC_CH3,Step19_Model1_EQB_CH2,Step20_Model1_EQC_CH3,Step21_Model1_EQC_CH4,Step22_Model3_EQA_CH4,Step23_Model2_EQC_CH1,Step24_Model1_EQB_CH1,Step25_Model1_EQA_CH1,Step26_Model1_EQB_CH2,Step27_Model2_EQC_CH2,Step28_Model1_EQA_CH2,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH4,,,,46.46836601317606,,,47.298909421133935,,,,,,,,,67.00815168172751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T001_W09,T001,9,Step1_Model1_EQC_CH1,Step2_Model2_EQB_CH3,Step3_Model1_EQC_CH3,Step4_Model1_EQB_CH1,Step5_Model1_EQB_CH3,Step6_Model1_EQC_CH3,Step7_Model1_EQA_CH1,Step8_Model2_EQB_CH2,Step9_Model1_EQA_CH3,Step10_Model3_EQA_CH3,Step11_Model1_EQB_CH4,Step12_Model2_EQC_CH2,Step13_Model2_EQC_CH1,Step14_Model1_EQB_CH3,Step15_Model1_EQC_CH2,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH3,Step18_Model1_EQC_CH2,Step19_Model1_EQB_CH2,Step20_Model1_EQC_CH4,Step21_Model1_EQC_CH1,Step22_Model3_EQA_CH1,Step23_Model2_EQC_CH1,Step24_Model1_EQB_CH2,Step25_Model1_EQA_CH4,Step26_Model1_EQB_CH1,Step27_Model2_EQC_CH2,Step28_Model1_EQA_CH2,Step29_Model1_EQC_CH3,Step30_Model1_EQA_CH1,,,,,,,,,,,,46.78378110223649,,,,,,,,39.556585196103235,36.706352373675344,,,,,,51.99554090171618,54.72564341378223,,,,,,,,49.62447424933174,,,,,,,,,,39.68752962161005,,,,8,,,,,,,,,,,,,,
T001_W10,T001,10,Step1_Model1_EQC_CH2,Step2_Model2_EQB_CH3,Step3_Model1_EQC_CH3,Step4_Model1_EQB_CH2,Step5_Model1_EQB_CH2,Step6_Model1_EQC_CH2,Step7_Model1_EQA_CH4,Step8_Model2_EQB_CH2,Step9_Model1_EQA_CH2,Step10_Model3_EQA_CH2,Step11_Model1_EQB_CH2,Step12_Model2_EQC_CH4,Step13_Model2_EQC_CH4,Step14_Model1_EQB_CH3,Step15_Model1_EQC_CH2,Step16_Model1_EQB_CH4,Step17_Model2_EQC_CH4,Step18_Model1_EQC_CH1,Step19_Model1_EQB_CH2,Step20_Model1_EQC_CH4,Step21_Model1_EQC_CH3,Step22_Model3_EQA_CH1,Step23_Model2_EQC_CH1,Step24_Model1_EQB_CH1,Step25_Model1_EQA_CH1,Step26_Model1_EQB_CH3,Step27_Model2_EQC_CH3,Step28_Model1_EQA_CH1,Step29_Model1_EQC_CH1,Step30_Model1_EQA_CH4,,,41.98627839379024,,,61.65992154232555,,,,60.03723814616494,,,,,,,,,64.68006295170623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
